SUBID,ses,analysis,stats,TCK,tck_mean,tck_std,tck_min,tck_max,tck_count
S018,T01,AL_07,86.5664444 5.40654373 70.3147278 104.466087 3151 ,R_Area_9_Middle,86.56644440000001,5.40654373,70.3147278,104.466087,3151
S018,T01,AL_07,75.7409821 6.74740458 57.3867035 95.3018112 1814 ,R_Area_10r,75.7409821,6.74740458,57.3867035,95.3018112,1814
S018,T01,AL_07,82.9691238 5.48725891 66.3632812 99.9888535 1425 ,R_Area_10v,82.9691238,5.48725891,66.3632812,99.9888535,1425
S018,T01,AL_07,42.5325203 21.2192879 21.6080418 102.315605 1087 ,R_Area_25,42.532520299999995,21.219287899999998,21.6080418,102.315605,1087
S018,T01,AL_07,74.514389 6.40689468 57.4826546 98.950264 1559 ,R_Area_p32,74.51438900000001,6.40689468,57.4826546,98.950264,1559
S018,T01,AL_07,120.635567 11.6603336 79.6156082 146.356506 212 ,R_Area_s32,120.635567,11.6603336,79.61560820000001,146.356506,212
S018,T01,AL_07,84.0067902 4.37947035 72.3430252 98.5139847 2710 ,R_Area_10d,84.0067902,4.37947035,72.3430252,98.51398470000001,2710
S018,T01,AL_07,73.6154556 6.67810202 58.3780098 93.5842361 3019 ,R_Area_posterior_10p,73.6154556,6.67810202,58.3780098,93.5842361,3019
S018,T01,AL_07,74.9486694 5.78566933 59.9915199 92.9087601 3194 ,R_Area_anterior_10p,74.9486694,5.78566933,59.9915199,92.9087601,3194
S018,T01,AL_07,78.2498016 4.57637835 65.9012985 93.6234207 2102 ,R_Polar_10p,78.2498016,4.57637835,65.9012985,93.62342070000001,2102
S018,T01,AL_07,76.3501358 6.31348944 58.3925591 94.2112961 2579 ,R_Area_11l,76.3501358,6.31348944,58.3925591,94.21129609999998,2579
S018,T01,AL_07,73.4119568 4.60361052 59.4524612 88.3219833 3532 ,R_Area_anterior_47r,73.4119568,4.60361052,59.45246120000001,88.3219833,3532
S018,T01,AL_07,67.3749695 6.11029625 54.0895004 89.9463806 2217 ,R_Area_47m,67.37496949999999,6.11029625,54.0895004,89.9463806,2217
S018,T01,AL_07,72.7347794 9.20928574 47.5438728 103.150604 3030 ,R_Area_47s,72.73477940000001,9.20928574,47.543872799999995,103.150604,3030
S018,T01,AL_07,97.8018112 10.5113039 67.3909912 129.922745 614 ,R_Area_13l,97.8018112,10.5113039,67.3909912,129.922745,614
S018,T01,AL_07,81.7619171 7.28568554 61.0627174 100.944435 1223 ,R_Orbital_Frontal_Complex,81.76191709999999,7.28568554,61.0627174,100.944435,1223
S018,T01,AL_07,76.0776596 6.54461432 58.8418121 119.277573 2016 ,R_posterior_OFC_Complex,76.07765959999999,6.54461432,58.841812100000006,119.277573,2016
S018,T01,AL_07,69.8737183 11.0627003 45.8430977 102.001656 2471 ,R_Area_44,69.8737183,11.062700300000001,45.8430977,102.00165600000001,2471
S018,T01,AL_07,76.2676773 5.16968393 60.8091774 93.2681427 3494 ,R_Area_45,76.26767729999999,5.16968393,60.809177399999996,93.2681427,3494
S018,T01,AL_07,74.0043106 4.64523506 61.1239433 88.6812897 3003 ,R_Area_47l,74.0043106,4.64523506,61.12394329999999,88.6812897,3003
S018,T01,AL_07,70.3091354 4.49848127 58.1536446 84.6552048 3930 ,R_Area_posterior_47r,70.3091354,4.49848127,58.1536446,84.65520479999999,3930
S018,T01,AL_07,66.0668259 4.24033117 54.4450951 80.292511 3320 ,R_Area__IFSa,66.0668259,4.24033117,54.4450951,80.292511,3320
S018,T01,AL_07,69.6565704 9.67792034 46.8065453 100.649185 3477 ,R_Area_IFSp,69.6565704,9.67792034,46.806545299999996,100.649185,3477
S018,T01,AL_07,66.0925217 9.14470577 42.8980713 94.0255508 966 ,R_Area_IFJa,66.0925217,9.14470577,42.8980713,94.02555079999999,966
S018,T01,AL_07,56.052742 5.09442854 41.8332939 71.0368271 581 ,R_Area_IFJp,56.052742,5.09442854,41.8332939,71.0368271,581
S018,T01,AL_07,84.7435532 4.33314848 71.6809692 98.6721878 3760 ,R_Area_9_anterior,84.7435532,4.33314848,71.6809692,98.6721878,3760
S018,T01,AL_07,76.9883957 6.13541412 60.3980179 95.6743622 4016 ,R_Area_9_Posterior,76.98839570000001,6.13541412,60.3980179,95.6743622,4016
S018,T01,AL_07,66.3609619 4.93854523 49.3856888 84.5979614 3598 ,R_Area_8Ad,66.36096189999999,4.93854523,49.3856888,84.5979614,3598
S018,T01,AL_07,69.3841705 7.22989607 51.1619186 90.6852112 4887 ,R_Area_9-46d,69.3841705,7.22989607,51.1619186,90.68521120000001,4887
S018,T01,AL_07,71.6499252 5.21989679 57.8565712 88.2410507 3943 ,R_Area_anterior_9-46v,71.6499252,5.21989679,57.856571200000005,88.2410507,3943
S018,T01,AL_07,64.8531494 6.06596041 46.8547783 84.0588303 4455 ,R_Area_46,64.85314939999999,6.06596041,46.8547783,84.0588303,4455
S018,T01,AL_07,68.0162811 5.13530874 53.1543732 84.5437698 3508 ,R_Area_posterior_9-46v,68.0162811,5.13530874,53.15437320000001,84.54376979999999,3508
S018,T01,AL_07,58.5852547 7.17685652 36.5206299 80.9208603 4160 ,R_Area_8C,58.5852547,7.17685652,36.5206299,80.9208603,4160
S018,T01,AL_07,64.7144089 6.30619287 41.5206261 84.2782135 5113 ,R_Area_8Av,64.71440890000001,6.30619287,41.5206261,84.2782135,5113
S018,T01,AL_07,60.1366539 5.525002 44.1109657 78.5811996 4162 ,R_Inferior_6-8_Transitional_Area,60.1366539,5.525002,44.1109657,78.58119959999999,4162
S018,T01,AL_07,67.5969238 7.24154186 47.468235 90.6903152 4076 ,R_Superior_6-8_Transitional_Area,67.5969238,7.24154186,47.468235,90.6903152,4076
S018,T01,AL_07,76.8261414 6.72400618 57.4263535 98.5577698 3882 ,R_Superior_Frontal_Language_Area,76.82614140000001,6.72400618,57.426353500000005,98.5577698,3882
S018,T01,AL_07,82.1546173 5.87135601 62.0161476 100.467545 4147 ,R_Area_8B_Lateral,82.1546173,5.87135601,62.016147600000004,100.467545,4147
S017,T02,AL_07,108.691704 15.2861862 73.0266724 166.30661 884 ,L_RetroSplenial_Complex,108.691704,15.2861862,73.02667240000001,166.30661,884
S017,T02,AL_07,140.993866 16.636631 102.559143 185.189438 463 ,ctx_lh_G_cingul-Post-dorsal_AND_ctx_lh_G_cingul-Post-ventral,140.993866,16.636631,102.559143,185.189438,463
S017,T02,AL_07,197.287689 11.592473 173.766602 217.616455 46 ,L_Entorhinal_Cortex,197.287689,11.592473,173.766602,217.61645499999997,46
S017,T02,AL_07,61.2118225 6.04563284 43.6216545 79.7319031 1884 ,ctx_lh_G_and_S_cingul-Ant,61.2118225,6.04563284,43.6216545,79.7319031,1884
S017,T02,AL_07,17.2568531 3.70440006 10.0108728 29.8836746 6398 ,Left-MammillaryBody,17.2568531,3.70440006,10.0108728,29.883674600000003,6398
S017,T02,AL_07,36.7579117 4.06395817 27.5166893 50.5775528 3790 ,Left-Basal-nucleus_AND_Left-Lateral-nucleus,36.7579117,4.06395817,27.5166893,50.5775528,3790
S017,T02,AL_07,56.2801971 5.98123741 42.5057411 75.7870712 2814 ,L_Area_TG_dorsal,56.2801971,5.98123741,42.5057411,75.7870712,2814
S017,T02,AL_07,66.9892731 5.97635984 50.7534103 84.7081299 3965 ,L_Area_8BM,66.9892731,5.97635984,50.75341029999999,84.70812990000002,3965
S017,T02,AL_07,79.1461105 6.14269018 60.3825722 98.2965164 4112 ,L_Area_9_Middle,79.14611049999999,6.14269018,60.382572200000006,98.29651640000002,4112
S017,T02,AL_07,72.2687759 5.7897234 54.8271675 87.9691391 2626 ,L_Area_10r,72.26877590000001,5.789723400000001,54.8271675,87.96913909999999,2626
S017,T02,AL_07,78.9922333 4.78999805 64.1380539 93.9075241 2817 ,L_Area_10v,78.9922333,4.78999805,64.1380539,93.90752409999999,2817
S017,T02,AL_07,25.0154285 2.79892349 20.3498421 36.2794571 348 ,L_Area_25,25.0154285,2.79892349,20.3498421,36.2794571,348
S017,T02,AL_07,66.2227478 5.597332 51.5697327 84.3753128 3263 ,L_Area_p32,66.2227478,5.597332,51.5697327,84.3753128,3263
S017,T02,AL_07,76.6710205 15.421916 49.1886406 103.927711 88 ,L_Area_s32,76.6710205,15.421916,49.1886406,103.927711,88
S017,T02,AL_07,81.2337036 4.57305098 68.2998199 95.717308 3703 ,L_Area_10d,81.2337036,4.57305098,68.2998199,95.717308,3703
S017,T02,AL_07,75.3894577 7.84769869 58.1409531 99.1636276 4227 ,L_Area_posterior_10p,75.38945770000001,7.84769869,58.1409531,99.1636276,4227
S017,T02,AL_07,73.4644318 4.24589491 62.6404877 85.9420242 3217 ,L_Area_anterior_10p,73.4644318,4.24589491,62.6404877,85.9420242,3217
S017,T02,AL_07,75.8918762 4.06802559 63.163208 89.6121216 2911 ,L_Polar_10p,75.8918762,4.06802559,63.163208,89.6121216,2911
S017,T02,AL_07,68.509819 6.12039328 50.8176689 87.0043716 2662 ,L_Area_11l,68.509819,6.12039328,50.8176689,87.00437159999998,2662
