SUBID,TCK,corr,btw
S036,L_Orbital_Frontal_Complex,0.917651723666294,T01vsT02
S035,L_Orbital_Frontal_Complex,0.9685956888301084,T01vsT02
S034,L_Orbital_Frontal_Complex,0.8607639860242499,T01vsT02
S033,L_Orbital_Frontal_Complex,0.9892416397456518,T01vsT02
S032,L_Orbital_Frontal_Complex,0.9712111607203988,T01vsT02
S031,L_Orbital_Frontal_Complex,0.7888208736320107,T01vsT02
TOT7729F,L_Orbital_Frontal_Complex,0.9627087135950642,T01vsT02
S029,L_Orbital_Frontal_Complex,0.9036252392450822,T01vsT02
S028,L_Orbital_Frontal_Complex,0.4997464070043191,T01vsT02
S027,L_Orbital_Frontal_Complex,0.9555878048939368,T01vsT02
S025,L_Orbital_Frontal_Complex,0.8604381129683316,T01vsT02
S024,L_Orbital_Frontal_Complex,0.8907998231057267,T01vsT02
S023,L_Orbital_Frontal_Complex,0.9964012961772892,T01vsT02
S022,L_Orbital_Frontal_Complex,0.8820635096746462,T01vsT02
S021,L_Orbital_Frontal_Complex,0.6202152913604896,T01vsT02
S020,L_Orbital_Frontal_Complex,0.4844887267547538,T01vsT02
S018,L_Orbital_Frontal_Complex,0.9766000748887306,T01vsT02
S017,L_Orbital_Frontal_Complex,0.9746907993643088,T01vsT02
S016,L_Orbital_Frontal_Complex,0.9354544628271422,T01vsT02
26CAMINO3920,L_Orbital_Frontal_Complex,0.5341990725563737,T01vsT02
41TPEF4693,L_Orbital_Frontal_Complex,0.9039420446965516,T01vsT02
07CAMINO6124,L_Orbital_Frontal_Complex,0.9295722452742412,T01vsT02
S038,L_posterior_OFC_Complex,0.9137392566625924,T01vsT02
S037,L_posterior_OFC_Complex,0.963809045437556,T01vsT02
S036,L_posterior_OFC_Complex,0.948331076037943,T01vsT02
S035,L_posterior_OFC_Complex,0.5538106361007438,T01vsT02
S034,L_posterior_OFC_Complex,0.8817781677625013,T01vsT02
S033,L_posterior_OFC_Complex,0.7837527235794954,T01vsT02
S032,L_posterior_OFC_Complex,0.9716367647317202,T01vsT02
S031,L_posterior_OFC_Complex,0.7259537618065012,T01vsT02
TOT7729F,L_posterior_OFC_Complex,0.6356908603220033,T01vsT02
S029,L_posterior_OFC_Complex,0.7328635446908702,T01vsT02
S028,L_posterior_OFC_Complex,0.4682799169872095,T01vsT02
S027,L_posterior_OFC_Complex,0.706091641551632,T01vsT02
S025,L_posterior_OFC_Complex,0.945910388184589,T01vsT02
S024,L_posterior_OFC_Complex,0.969749255349084,T01vsT02
S023,L_posterior_OFC_Complex,0.9869842466989022,T01vsT02
S022,L_posterior_OFC_Complex,0.7375195473217645,T01vsT02
S021,L_posterior_OFC_Complex,0.5746064323227233,T01vsT02
S020,L_posterior_OFC_Complex,0.6797086547760146,T01vsT02
S018,L_posterior_OFC_Complex,0.9875781114719648,T01vsT02
S017,L_posterior_OFC_Complex,0.8783009903892011,T01vsT02
S016,L_posterior_OFC_Complex,0.902328893553146,T01vsT02
26CAMINO3920,L_posterior_OFC_Complex,0.7377775516778904,T01vsT02
41TPEF4693,L_posterior_OFC_Complex,0.8699492393138355,T01vsT02
07CAMINO6124,L_posterior_OFC_Complex,0.7455148652809329,T01vsT02
S038,Right-MammillaryBody,0.9413280118398384,T01vsT02
S037,Right-MammillaryBody,0.51498169719489,T01vsT02
S036,Right-MammillaryBody,0.4851915229598408,T01vsT02
S035,Right-MammillaryBody,0.946604813946742,T01vsT02
S034,Right-MammillaryBody,0.5078870858379677,T01vsT02
S033,Right-MammillaryBody,0.4784944111874422,T01vsT02
S032,Right-MammillaryBody,0.6830788098935362,T01vsT02
S031,Right-MammillaryBody,0.8731090446386743,T01vsT02
TOT7729F,Right-MammillaryBody,0.2109151667655408,T01vsT02
S029,Right-MammillaryBody,0.453480368429346,T01vsT02
S028,Right-MammillaryBody,0.117623605452175,T01vsT02
S027,Right-MammillaryBody,0.175872793818942,T01vsT02
S025,Right-MammillaryBody,0.953282965418491,T01vsT02
S024,Right-MammillaryBody,-0.8200529546924092,T01vsT02
S023,Right-MammillaryBody,0.9930794798949216,T01vsT02
S022,Right-MammillaryBody,0.8227134366623753,T01vsT02
S021,Right-MammillaryBody,0.4486737352929827,T01vsT02
S020,Right-MammillaryBody,0.5441658711815988,T01vsT02
S018,Right-MammillaryBody,-0.024058617582984,T01vsT02
S017,Right-MammillaryBody,0.4505242208278194,T01vsT02
S016,Right-MammillaryBody,0.5652311154473284,T01vsT02
26CAMINO3920,Right-MammillaryBody,0.8520029383331561,T01vsT02
41TPEF4693,Right-MammillaryBody,0.8185830787919508,T01vsT02
07CAMINO6124,Right-MammillaryBody,0.3477498224281379,T01vsT02
S038,R_Area_25,0.7503327901311901,T01vsT02
S037,R_Area_25,0.94416359958353,T01vsT02
S036,R_Area_25,0.7013965321899692,T01vsT02
S035,R_Area_25,0.7619313502492656,T01vsT02
S034,R_Area_25,0.8538449858333819,T01vsT02
S033,R_Area_25,0.8012909021043404,T01vsT02
S032,R_Area_25,0.5532819175626185,T01vsT02
S031,R_Area_25,0.7747927837624359,T01vsT02
TOT7729F,R_Area_25,0.9141252028558828,T01vsT02
S029,R_Area_25,0.8477743478022166,T01vsT02
S028,R_Area_25,0.7958060773138999,T01vsT02
S027,R_Area_25,0.9695154556771282,T01vsT02
S025,R_Area_25,0.5281767712330482,T01vsT02
S024,R_Area_25,0.2801888765599686,T01vsT02
S023,R_Area_25,0.981915795892116,T01vsT02
S022,R_Area_25,0.8179927655011234,T01vsT02
S021,R_Area_25,0.2159259507026933,T01vsT02
S020,R_Area_25,0.2381667375707829,T01vsT02
S018,R_Area_25,0.9773438483918524,T01vsT02
S017,R_Area_25,0.8921283313727197,T01vsT02
S016,R_Area_25,0.5005129539347395,T01vsT02
26CAMINO3920,R_Area_25,0.1962288224260387,T01vsT02
41TPEF4693,R_Area_25,0.9067989847881622,T01vsT02
07CAMINO6124,R_Area_25,0.8689894117566562,T01vsT02
S038,R_Area_s32,0.9853021225710707,T01vsT02
S037,R_Area_s32,0.8766839269985365,T01vsT02
S036,R_Area_s32,0.9261008930508928,T01vsT02
S035,R_Area_s32,0.97387165999338,T01vsT02
S034,R_Area_s32,0.9119754521630044,T01vsT02
S033,R_Area_s32,0.5239034190974616,T01vsT02
S032,R_Area_s32,0.7293913051720168,T01vsT02
S031,R_Area_s32,0.260653164836243,T01vsT02
TOT7729F,R_Area_s32,0.3268320383978701,T01vsT02
S029,R_Area_s32,0.9843839766263878,T01vsT02
S028,R_Area_s32,0.9171996711647216,T01vsT02
S027,R_Area_s32,0.8528993922806868,T01vsT02
S025,R_Area_s32,0.3337885987355785,T01vsT02
S024,R_Area_s32,0.9720042126291716,T01vsT02
S023,R_Area_s32,0.9924641470858888,T01vsT02
S022,R_Area_s32,0.8591903775142306,T01vsT02
S021,R_Area_s32,0.7309317748865413,T01vsT02
S020,R_Area_s32,0.6758081223147445,T01vsT02
S018,R_Area_s32,0.9768254080879496,T01vsT02
S017,R_Area_s32,0.9851683554665064,T01vsT02
S016,R_Area_s32,0.6445186194099262,T01vsT02
26CAMINO3920,R_Area_s32,0.9395602144260388,T01vsT02
41TPEF4693,R_Area_s32,0.8131974596611576,T01vsT02
07CAMINO6124,R_Area_s32,0.9470408777208068,T01vsT02
S038,R_Area_13l,0.7515132725052258,T01vsT02
S037,R_Area_13l,0.6668315338957886,T01vsT02
S036,R_Area_13l,0.9238618162257712,T01vsT02
S035,R_Area_13l,0.91453117128741,T01vsT02
S034,R_Area_13l,0.9394708780173894,T01vsT02
S033,R_Area_13l,0.9794409164426924,T01vsT02
S032,R_Area_13l,0.9079331688290172,T01vsT02
S031,R_Area_13l,0.8584325792212196,T01vsT02
TOT7729F,R_Area_13l,0.9016131222396484,T01vsT02
S029,R_Area_13l,0.7017735191937137,T01vsT02
S028,R_Area_13l,0.95984515222913,T01vsT02
S027,R_Area_13l,0.988435146986294,T01vsT02
S025,R_Area_13l,0.9181625478410887,T01vsT02
S024,R_Area_13l,0.9414036017099284,T01vsT02
S023,R_Area_13l,0.9906661439338706,T01vsT02
S022,R_Area_13l,0.8984131730965795,T01vsT02
S021,R_Area_13l,0.8859743526340597,T01vsT02
S020,R_Area_13l,0.9489483315529824,T01vsT02
S018,R_Area_13l,0.6426532951421835,T01vsT02
S017,R_Area_13l,0.3666148205085756,T01vsT02
S016,R_Area_13l,0.78589025098435,T01vsT02
26CAMINO3920,R_Area_13l,0.989027813060285,T01vsT02
41TPEF4693,R_Area_13l,0.8248215376232859,T01vsT02
07CAMINO6124,R_Area_13l,0.953424538207116,T01vsT02
S038,R_Orbital_Frontal_Complex,0.970254130827571,T01vsT02
S037,R_Orbital_Frontal_Complex,0.918151108600678,T01vsT02
S036,R_Orbital_Frontal_Complex,0.9485104178063506,T01vsT02
S035,R_Orbital_Frontal_Complex,0.9829096252715562,T01vsT02
S034,R_Orbital_Frontal_Complex,0.8284721323086262,T01vsT02
S033,R_Orbital_Frontal_Complex,0.989719085728138,T01vsT02
S032,R_Orbital_Frontal_Complex,0.6209198973526854,T01vsT02
S031,R_Orbital_Frontal_Complex,0.8291749808982706,T01vsT02
TOT7729F,R_Orbital_Frontal_Complex,0.7848909677981866,T01vsT02
S029,R_Orbital_Frontal_Complex,0.9302805127677098,T01vsT02
S028,R_Orbital_Frontal_Complex,0.9752256899442658,T01vsT02
S027,R_Orbital_Frontal_Complex,0.9775791055352432,T01vsT02
S025,R_Orbital_Frontal_Complex,0.2809577662476716,T01vsT02
S024,R_Orbital_Frontal_Complex,0.9472071182945458,T01vsT02
S023,R_Orbital_Frontal_Complex,0.9934355861558696,T01vsT02
S022,R_Orbital_Frontal_Complex,0.950425263081504,T01vsT02
S021,R_Orbital_Frontal_Complex,0.985426045228046,T01vsT02
S020,R_Orbital_Frontal_Complex,0.0799762350456154,T01vsT02
S018,R_Orbital_Frontal_Complex,0.9572988281702192,T01vsT02
S017,R_Orbital_Frontal_Complex,0.9653574556746504,T01vsT02
S016,R_Orbital_Frontal_Complex,0.8127904749965172,T01vsT02
26CAMINO3920,R_Orbital_Frontal_Complex,0.9437998635487712,T01vsT02
41TPEF4693,R_Orbital_Frontal_Complex,0.8876104843989737,T01vsT02
07CAMINO6124,R_Orbital_Frontal_Complex,0.976383069471058,T01vsT02
S038,R_posterior_OFC_Complex,0.6906894676966272,T01vsT02
S037,R_posterior_OFC_Complex,0.6078464965532241,T01vsT02
S036,R_posterior_OFC_Complex,0.4898534443061282,T01vsT02
S035,R_posterior_OFC_Complex,0.2901228146018478,T01vsT02
S034,R_posterior_OFC_Complex,0.9319556597696836,T01vsT02
S033,R_posterior_OFC_Complex,0.5745626896931826,T01vsT02
S032,R_posterior_OFC_Complex,0.9072086153931994,T01vsT02
S031,R_posterior_OFC_Complex,0.9834038938167632,T01vsT02
TOT7729F,R_posterior_OFC_Complex,0.915455590729849,T01vsT02
S029,R_posterior_OFC_Complex,0.860333758777121,T01vsT02
S028,R_posterior_OFC_Complex,0.8297354599295922,T01vsT02
S027,R_posterior_OFC_Complex,0.9256376321017424,T01vsT02
S025,R_posterior_OFC_Complex,0.7612082999315563,T01vsT02
S024,R_posterior_OFC_Complex,0.2902154121522508,T01vsT02
S023,R_posterior_OFC_Complex,0.9981941897770736,T01vsT02
S022,R_posterior_OFC_Complex,0.9131854170041434,T01vsT02
S021,R_posterior_OFC_Complex,0.6684592616297015,T01vsT02
S020,R_posterior_OFC_Complex,0.5187394890335084,T01vsT02
S018,R_posterior_OFC_Complex,0.9582938573445292,T01vsT02
S017,R_posterior_OFC_Complex,0.7574601425184342,T01vsT02
S016,R_posterior_OFC_Complex,0.5951361427419111,T01vsT02
26CAMINO3920,R_posterior_OFC_Complex,-0.0209618988552512,T01vsT02
41TPEF4693,R_posterior_OFC_Complex,0.9554153035839716,T01vsT02
07CAMINO6124,R_posterior_OFC_Complex,0.9512701699259682,T01vsT02
