SUBID,TCK,corr,btw,analysis,SUBID2
S034,L_Entorhinal_Cortex,0.7547143919211107,T01vsT02,AL_07,
S033,L_Entorhinal_Cortex,0.643239578719572,T01vsT02,AL_07,
S032,L_Entorhinal_Cortex,0.5226304136036608,T01vsT02,AL_07,
S031,L_Entorhinal_Cortex,0.5323736200804515,T01vsT02,AL_07,
TOT7729F,L_Entorhinal_Cortex,0.8752549083402983,T01vsT02,AL_07,
S029,L_Entorhinal_Cortex,0.7254499277800338,T01vsT02,AL_07,
S028,L_Entorhinal_Cortex,0.44734925166017864,T01vsT02,AL_07,
S025,L_Entorhinal_Cortex,0.9395621321570686,T01vsT02,AL_07,
S024,L_Entorhinal_Cortex,0.8993971700552734,T01vsT02,AL_07,
S023,L_Entorhinal_Cortex,0.954343371754776,T01vsT02,AL_07,
S022,L_Entorhinal_Cortex,0.84550608510445,T01vsT02,AL_07,
S021,L_Entorhinal_Cortex,0.9288703680092247,T01vsT02,AL_07,
S018,L_Entorhinal_Cortex,0.8499835013413413,T01vsT02,AL_07,
S017,L_Entorhinal_Cortex,0.9118863957071525,T01vsT02,AL_07,
S016,L_Entorhinal_Cortex,0.8504534072662809,T01vsT02,AL_07,
07CAMINO6124,L_Entorhinal_Cortex,0.9135200087560905,T01vsT02,AL_07,
S038,ctx_lh_G_and_S_cingul-Ant,0.9094921916281828,T01vsT02,AL_07,
S037,ctx_lh_G_and_S_cingul-Ant,0.9765300370952223,T01vsT02,AL_07,
S036,ctx_lh_G_and_S_cingul-Ant,0.6602910601556421,T01vsT02,AL_07,
S035,ctx_lh_G_and_S_cingul-Ant,0.8918405079867868,T01vsT02,AL_07,
S034,ctx_lh_G_and_S_cingul-Ant,0.9488644035293438,T01vsT02,AL_07,
S033,ctx_lh_G_and_S_cingul-Ant,0.97980641549085,T01vsT02,AL_07,
S032,ctx_lh_G_and_S_cingul-Ant,0.9757003470998225,T01vsT02,AL_07,
S031,ctx_lh_G_and_S_cingul-Ant,0.9500732388006999,T01vsT02,AL_07,
TOT7729F,ctx_lh_G_and_S_cingul-Ant,0.9913831706620686,T01vsT02,AL_07,
S029,ctx_lh_G_and_S_cingul-Ant,0.9876694465278624,T01vsT02,AL_07,
S028,ctx_lh_G_and_S_cingul-Ant,0.9355846361422935,T01vsT02,AL_07,
S027,ctx_lh_G_and_S_cingul-Ant,0.9396598986831031,T01vsT02,AL_07,
S025,ctx_lh_G_and_S_cingul-Ant,0.9682203727189296,T01vsT02,AL_07,
S024,ctx_lh_G_and_S_cingul-Ant,0.8358296141712767,T01vsT02,AL_07,
S023,ctx_lh_G_and_S_cingul-Ant,0.9796137681011146,T01vsT02,AL_07,
S022,ctx_lh_G_and_S_cingul-Ant,0.9699468674278149,T01vsT02,AL_07,
S021,ctx_lh_G_and_S_cingul-Ant,0.9825215787885899,T01vsT02,AL_07,
S020,ctx_lh_G_and_S_cingul-Ant,0.8695723464910946,T01vsT02,AL_07,
S018,ctx_lh_G_and_S_cingul-Ant,0.8629565958267907,T01vsT02,AL_07,
S017,ctx_lh_G_and_S_cingul-Ant,0.8939680318691338,T01vsT02,AL_07,
S016,ctx_lh_G_and_S_cingul-Ant,0.9599466818507069,T01vsT02,AL_07,
26CAMINO3920,ctx_lh_G_and_S_cingul-Ant,0.9421430876142646,T01vsT02,AL_07,
41TPEF4693,ctx_lh_G_and_S_cingul-Ant,0.8618501360692309,T01vsT02,AL_07,
07CAMINO6124,ctx_lh_G_and_S_cingul-Ant,0.9836090416682041,T01vsT02,AL_07,
S038,Left-MammillaryBody,0.926513689377649,T01vsT02,AL_07,
S037,Left-MammillaryBody,0.08349857632928886,T01vsT02,AL_07,
S036,Left-MammillaryBody,0.2847851352075252,T01vsT02,AL_07,
S035,Left-MammillaryBody,0.8280850111738179,T01vsT02,AL_07,
S034,Left-MammillaryBody,0.4773989774090195,T01vsT02,AL_07,
S033,Left-MammillaryBody,0.5247965388246968,T01vsT02,AL_07,
S032,Left-MammillaryBody,0.7885708986407516,T01vsT02,AL_07,
S031,Left-MammillaryBody,0.778178085413325,T01vsT02,AL_07,
TOT7729F,Left-MammillaryBody,0.8146574501799092,T01vsT02,AL_07,
S029,Left-MammillaryBody,0.6325463775749397,T01vsT02,AL_07,
S028,Left-MammillaryBody,0.7583843976388442,T01vsT02,AL_07,
