bundle_adjacency_voxels,dice_voxels,w_dice_voxels,volume_overlap,volume_overreach,dice_voxels_endpoints,w_dice_voxels_endpoints,volume_overlap_endpoints,volume_overreach_endpoints,density_correlation,density_correlation_endpoints,bundle_adjacency_streamlines,TCK,SUBID,btw,analysis
0.13931100722783,0.867803837953091,0.9927289485931392,6637.827438354492,2022.3356323242188,0.879864636209813,0.9919881820678712,2120.1905822753906,578.9751205444336,0.9271999980395472,0.948494542440772,0.54220050573349,L_Area_10r,07CAMINO6124,T01vsT02,AL_07
0.142113508151964,0.8590235874931431,0.992155909538269,6385.035484313965,2095.7268447875977,0.8287461773700301,0.967335641384124,2209.890953063965,913.3128662109376,0.8499611741889491,0.846163733622544,1.054354071617126,L_Area_10r,26CAMINO3920,T01vsT02,AL_07
0.099828206363546,0.8986515876468031,0.996720910072326,8423.680274963379,1900.016944885254,0.8801169590643271,0.990193963050842,2454.5283279418945,668.6754913330078,0.9542043961308,0.958039508840982,0.6426511406898491,L_Area_10r,41TPEF4693,T01vsT02,AL_07
0.095534281093013,0.904834605597964,0.996949672698974,7249.420875549316,1524.9063034057615,0.863777089783281,0.990035593509674,2275.127586364746,717.6029663085938,0.939818707439784,0.894559845808208,0.461822986602783,L_Area_10r,S016,T01vsT02,AL_07
0.129359151894437,0.8728717366628831,0.995271861553192,6270.871376037598,1826.625732421875,0.8650793650793651,0.990730106830596,1777.698257446289,554.5113830566406,0.8787326836238881,0.912329166965318,0.525504350662231,L_Area_10r,S017,T01vsT02,AL_07
0.138774206000806,0.8703590992087641,0.993144869804382,5830.524101257324,1736.9253616333008,0.8250000000000001,0.969832360744476,1614.606674194336,684.9846496582031,0.9471446927579732,0.796866082307597,1.156861543655395,L_Area_10r,S018,T01vsT02,AL_07
0.125483262832501,0.87352829472085,0.992417991161346,9377.766036987305,2715.4748611450195,0.8801128349788431,0.990640997886657,2544.2286987304688,693.1392288208008,0.897986074162832,0.9187550964730852,0.649518191814422,L_Area_10r,S020,T01vsT02,AL_07
0.501872919358881,0.667274384685505,0.8649941682815551,5969.151947021484,5952.842788696289,0.699280575539568,0.8609574437141411,1981.5627365112305,1704.3070449829102,0.360774074457236,0.6558380250833541,2.400547742843628,L_Area_10r,S021,T01vsT02,AL_07
0.494622806699776,0.6693919264179861,0.8793927431106561,5341.249351501465,5276.012718200684,0.5552560646900271,0.779618561267852,1679.8433074951172,2691.0111236572266,0.432337192893823,0.437932953198122,2.308377265930176,L_Area_10r,S022,T01vsT02,AL_07
0.054871434095205,0.945127719962157,0.999207615852356,8146.424583435059,945.931182861328,0.9100968188105112,0.995896160602569,2682.856544494629,530.0476455688477,0.99578940126954,0.979624796766501,0.233987063169479,L_Area_10r,S023,T01vsT02,AL_07
0.243654179706067,0.7785547785547781,0.9750321507453912,5447.258880615234,3098.7400817871094,0.746666666666666,0.937538743019104,1598.2975158691406,1084.5590286254885,0.846833407314017,0.8124371943552181,1.153257489204406,L_Area_10r,S024,T01vsT02,AL_07
0.105686986904627,0.8946754760979401,0.9959894418716432,9385.920616149902,2209.890953063965,0.89242053789731,0.993231296539306,2976.4213943481445,717.6029663085938,0.94174027781138,0.94290394589867,0.238836526870727,L_Area_10r,S025,T01vsT02,AL_07
0.13631025194673,0.865359477124183,0.993443608283996,8097.497108459473,2519.764961242676,0.8691860465116271,0.979481637477874,2438.219169616699,733.9121246337891,0.9050075113204392,0.9164069851059,0.8555586934089661,L_Area_10r,S027,T01vsT02,AL_07
0.124738684178717,0.8770152003684931,0.9929060339927672,7763.159362792969,2177.272636413574,0.8462664714494871,0.9775791168212892,2356.6733779907227,856.2308120727539,0.9183982486956532,0.902811767691368,0.732690334320068,L_Area_10r,S028,T01vsT02,AL_07
0.093010439756953,0.9068727124847492,0.9969154596328732,9092.355766296389,1867.3986282348635,0.902743142144638,0.986248850822448,2951.957656860352,636.0571746826172,0.942078777078269,0.9123632935808892,0.589963018894195,L_Area_10r,S029,T01vsT02,AL_07
0.148318097169797,0.874662553027381,0.9782530069351192,9247.292770385742,2650.2382278442383,0.853881278538812,0.9540518522262572,3049.8126068115234,1043.7861328125,0.9330037590048992,0.869121735694089,0.412082731723785,L_Area_10r,S031,T01vsT02,AL_07
0.080596517685085,0.919881305637982,0.9982218146324152,6319.798851013184,1100.8681869506836,0.905008635578583,0.994341790676116,2136.499740600586,448.5018539428711,0.916861938594806,0.9471055958863892,0.5569408535957331,L_Area_10r,S032,T01vsT02,AL_07
0.099103790591276,0.9006928406466511,0.996228516101837,7950.714683532715,1753.234519958496,0.861717612809315,0.9853625893592832,2413.7554321289062,774.6850204467773,0.973620937485939,0.9629786911453532,0.151647269725799,L_Area_10r,S033,T01vsT02,AL_07
0.270101917222061,0.7718600953895071,0.9688108563423152,7918.096366882324,4680.728439331055,0.789946140035906,0.966083228588104,1794.0074157714844,954.0857620239258,0.702492288528873,0.8802492913908471,1.267612218856811,L_Area_10r,S034,T01vsT02,AL_07
0.077092956578008,0.922822946760214,0.996997773647308,9116.81950378418,1524.9063034057615,0.9153046062407132,0.9954010844230652,2511.610382080078,464.8110122680664,0.961929278213902,0.9663497526311352,0.268168866634368,L_Area_10r,S035,T01vsT02,AL_07
0.098328993204581,0.902949571836346,0.99713796377182,7738.695625305176,1663.534149169922,0.8511235955056181,0.98801702260971,2470.83748626709,864.3853912353516,0.9722752466250192,0.860472028648625,0.683994889259338,L_Area_10r,S036,T01vsT02,AL_07
