SUBID,TCK,bundle_adjacency_voxels_T01vsT02,bundle_adjacency_voxels_comAL_06vscomAL_07,dice_voxels_T01vsT02,dice_voxels_comAL_06vscomAL_07,density_correlation_T01vsT02,density_correlation_comAL_06vscomAL_07,noise_T01,noise_T02,motion_T01,motion_T02,fa_corr_06vs07,fa_corr_T01vsT02,analysis_T01,analysis_T02,stats_T01,stats_T02,tck_mean_T01,tck_mean_T02,tck_std_T01,tck_std_T02,tck_min_T01,tck_min_T02,tck_max_T01,tck_max_T02,tck_count_T01,tck_count_T02
01Caminoreso5503,L_Area_9-46d,,0.063483708822397,,0.936748562467328,,0.996099288741868,130.548,,0.25117992993972377,,0.9995554604051724,,AL_07,,67.7172546 6.0939455 51.5343628 86.7601471 4332 ,,67.7172546,,6.0939455,,51.5343628,,86.76014709999998,,4332.0,
01Caminoreso5503,L_Area_9_Middle,,0.065816353774916,,0.9341736694677872,,0.9970106121256692,132.359,,0.25117992993972377,,0.999716524981321,,AL_07,,79.1141815 5.89680195 62.1021347 97.3139191 3569 ,,79.1141815,,5.89680195,,62.10213470000001,,97.3139191,,3569.0,
01Caminoreso5503,L_Area_9_Posterior,,0.058733102993316,,0.941281138790035,,0.996468378068686,127.874,,0.25117992993972377,,0.9997898229442328,,AL_07,,73.7428894 6.03055191 56.8410645 92.6431427 3595 ,,73.74288940000001,,6.03055191,,56.8410645,,92.6431427,,3595.0,
01Caminoreso5503,L_Area_9_anterior,,0.057684849400935,,0.942424242424242,,0.996208678430874,130.546,,0.25117992993972377,,0.9972930669674424,,AL_07,,77.4961548 4.94781017 62.7355881 93.6792603 3281 ,,77.4961548,,4.94781017,,62.73558810000001,,93.6792603,,3281.0,
01Caminoreso5503,L_Area_IFJa,,0.077307125749176,,0.9226869455006332,,0.9902400318515272,136.253,,0.25117992993972377,,0.998437141455276,,AL_07,,52.0404549 6.28142262 40.510334 74.9829788 1428 ,,52.0404549,,6.28142262,,40.510334,,74.9829788,,1428.0,
01Caminoreso5503,L_Area_IFJp,,0.099693531754188,,0.90071382219338,,0.97607316960311,138.084,,0.25117992993972377,,0.998619716878676,,AL_07,,59.2443542 5.64416695 46.3841286 78.0520172 313 ,,59.2443542,,5.64416695,,46.3841286,,78.05201720000001,,313.0,
01Caminoreso5503,L_Area_IFSp,,0.05805824271904,,0.943074003795066,,0.99568087453964,133.009,,0.25117992993972377,,0.9989346128443648,,AL_07,,65.8002319 9.66034985 44.2066269 97.5147476 3201 ,,65.8002319,,9.66034985,,44.2066269,,97.5147476,,3201.0,
01Caminoreso5503,L_Area_TG_dorsal,,0.08293755665438,,0.91827468785471,,0.997678885772238,188.081,,0.25117992993972377,,0.999569970952462,,AL_07,,57.7548866 6.39241457 41.8436356 78.6277847 2417 ,,57.754886600000006,,6.39241457,,41.843635600000006,,78.6277847,,2417.0,
01Caminoreso5503,L_Area__IFSa,,0.045340035958832,,0.954497354497354,,0.9960887020670032,135.117,,0.25117992993972377,,0.9995472768914504,,AL_07,,73.3570557 6.10398674 56.0723877 91.2661057 3571 ,,73.3570557,,6.10398674,,56.0723877,,91.2661057,,3571.0,
01Caminoreso5503,L_Area_anterior_10p,,0.057770537284062,,0.9421686746987952,,0.996492065460898,142.153,,0.25117992993972377,,0.9982354732073114,,AL_07,,71.690155 4.6219945 58.7411194 86.5626907 2953 ,,71.690155,,4.6219945,,58.7411194,,86.5626907,,2953.0,
01Caminoreso5503,L_Area_anterior_47r,,0.060263382007768,,0.939735739606832,,0.9956774090036172,140.354,,0.25117992993972377,,0.9980295040413044,,AL_07,,72.3702469 5.04575729 58.4026642 89.0042801 3216 ,,72.3702469,,5.04575729,,58.4026642,,89.0042801,,3216.0,
01Caminoreso5503,L_Area_anterior_9-46v,,0.05612137085787,,0.943843923016082,,0.995802954193926,132.005,,0.25117992993972377,,0.999639922061082,,AL_07,,73.3826523 5.85183764 57.7507935 91.6669922 4074 ,,73.38265229999999,,5.85183764,,57.75079350000001,,91.6669922,,4074.0,
01Caminoreso5503,L_Area_p32,,0.064301498868825,,0.9356901090635572,,0.996142788859506,142.85,,0.25117992993972377,,0.9993916681732388,,AL_07,,67.9277267 6.6169281 50.4703941 90.7683792 2810 ,,67.9277267,,6.6169281,,50.4703941,,90.7683792,,2810.0,
01Caminoreso5503,L_Area_posterior_10p,,0.063576075453472,,0.936482939632545,,0.9964211325780972,140.316,,0.25117992993972377,,0.9992511394152108,,AL_07,,73.7726898 7.494802 57.1671066 97.7139664 3655 ,,73.7726898,,7.494802,,57.1671066,,97.7139664,,3655.0,
